instrument,minute,cum
002581.SZ,206,0.003319197258132345
002581.SZ,207,0.003319197258132345
002581.SZ,208,0.0022123902829412384
002581.SZ,209,0.0022123902829412384
002581.SZ,210,0.0022123902829412384
002581.SZ,211,0.0011043569285795055
002581.SZ,212,0.0011043569285795055
002581.SZ,213,0.0011043569285795055
002581.SZ,214,0.0011043569285795055
002581.SZ,215,-4.905525706228259e-06
002581.SZ,216,0.0011043569285795274
002581.SZ,217,-0.0011153998097333606
002581.SZ,218,-0.0011153998097333606
002581.SZ,219,0.0011043569285794494
002581.SZ,220,-4.905525706284421e-06
002581.SZ,221,-4.905525706284421e-06
002581.SZ,222,-4.905525706284421e-06
002581.SZ,223,-0.0011153998097334608
002581.SZ,224,0.0022123902829410637
002581.SZ,225,0.0022123902829410637
002581.SZ,226,0.0033191972581321106
002581.SZ,227,0.0033191972581321106
002581.SZ,228,0.0033191972581321106
002581.SZ,229,0.0033191972581321106
002581.SZ,230,0.0033191972581321106
002581.SZ,231,0.0033191972581321106
002581.SZ,232,0.004424780565881987
002581.SZ,233,0.009934436376851466
002581.SZ,234,0.005529142908935198
002581.SZ,235,0.009934436376851395
002581.SZ,236,0.012129826940287051
002581.SZ,237,0.012129826940287051
002581.SZ,238,0.012129826940287051
002581.SZ,239,0.016506201540086054
300393.SZ,0,0.0
300393.SZ,1,-0.0018744147943503039
300393.SZ,2,-0.0037523496185504013
300393.SZ,3,-0.005633817718256133
300393.SZ,4,-0.007518832414027356
300393.SZ,5,0.0037383221106071117
300393.SZ,6,0.009319731948802156
300393.SZ,7,0.011173300598125213
300393.SZ,8,0.01855340789574767
300393.SZ,9,0.01855340789574767
300393.SZ,10,0.027702602549335535
300393.SZ,11,0.02222313678470994
300393.SZ,12,0.029522439266321476
300393.SZ,13,0.03315220731690021
300393.SZ,14,0.03496216256213982
300393.SZ,15,0.03496216256213982
300393.SZ,16,0.04216940096708899
300393.SZ,17,0.03676884778708871
300393.SZ,18,0.034962162562139784
300393.SZ,19,0.03676884778708883
300393.SZ,20,0.038572274786239556
300393.SZ,21,0.0403724552903874
300393.SZ,22,0.0403724552903874
300393.SZ,23,0.0403724552903874
300393.SZ,24,0.0403724552903874
300393.SZ,25,0.03676884778708886
300393.SZ,26,0.04037245529038726
300393.SZ,27,0.036768847787088714
300393.SZ,28,0.03857227478623944
300393.SZ,29,0.036768847787088756
300393.SZ,30,0.03496216256213983
300393.SZ,31,0.038572274786239404
300393.SZ,32,0.038572274786239404
300393.SZ,33,0.03496216256213973
300393.SZ,34,0.03496216256213973
300393.SZ,35,0.03496216256213973
300393.SZ,36,0.03496216256213973
300393.SZ,37,0.03496216256213973
300393.SZ,38,0.0421694009670889
300393.SZ,39,0.0421694009670889
300393.SZ,40,0.0421694009670889
300393.SZ,41,0.04037245529038715
300393.SZ,42,0.03496216256213972
300393.SZ,43,0.036768847787088776
300393.SZ,44,0.034962162562139854
300393.SZ,45,0.0367688477870889
300393.SZ,46,0.03496216256213998
300393.SZ,47,0.03496216256213998
300393.SZ,48,0.03496216256213998
300393.SZ,49,0.033152207316900335
300393.SZ,50,0.033152207316900335
300393.SZ,51,0.0313389701927195
300393.SZ,52,0.033152207316900224
300393.SZ,53,0.033152207316900224
300393.SZ,54,0.033152207316900224
300393.SZ,55,0.033152207316900224
300393.SZ,56,0.03133897019271939
300393.SZ,57,0.03315220731690011
300393.SZ,58,0.03133897019271928
300393.SZ,59,0.029522439266321386
300393.SZ,60,0.031338970192719175
300393.SZ,61,0.029522439266321282
300393.SZ,62,0.029522439266321282
300393.SZ,63,0.033152207316900016
300393.SZ,64,0.03133897019271918
300393.SZ,65,0.02952243926632129
300393.SZ,66,0.03133897019271908
300393.SZ,67,0.029522439266321185
300393.SZ,68,0.03133897019271897
300393.SZ,69,0.03133897019271897
300393.SZ,70,0.02952243926632108
300393.SZ,71,0.03133897019271887
300393.SZ,72,0.03133897019271887
300393.SZ,73,0.03133897019271887
300393.SZ,74,0.03133897019271887
300393.SZ,75,0.029522439266320977
300393.SZ,76,0.029522439266320977
300393.SZ,77,0.031338970192718765
300393.SZ,78,0.031338970192718765
300393.SZ,79,0.029522439266320873
300393.SZ,80,0.02770260254933489
300393.SZ,81,0.02952243926632079
300393.SZ,82,0.027702602549334807
300393.SZ,83,0.02587944798781978
300393.SZ,84,0.02587944798781978
300393.SZ,85,0.02587944798781978
300393.SZ,86,0.02405296346178537
300393.SZ,87,0.020389955703048336
300393.SZ,88,0.022223136784709246
300393.SZ,89,0.024052963461785405
300393.SZ,90,0.02038995570304837
300393.SZ,91,0.02222313678470928
300393.SZ,92,0.020389955703048322
300393.SZ,93,0.01855340789574693
300393.SZ,94,0.02038995570304826
300393.SZ,95,0.02038995570304826
300393.SZ,96,0.02038995570304826
300393.SZ,97,0.02038995570304826
300393.SZ,98,0.02038995570304826
300393.SZ,99,0.016713480973739512
300393.SZ,100,0.018553407895746808
300393.SZ,101,0.018553407895746808
300393.SZ,102,0.016713480973739515
300393.SZ,103,0.01855340789574681
300393.SZ,104,0.016713480973739515
300393.SZ,105,0.016713480973739515
300393.SZ,106,0.016713480973739515
300393.SZ,107,0.016713480973739515
300393.SZ,108,0.01855340789574681
300393.SZ,109,0.020389955703048142
300393.SZ,110,0.022223136784709052
