candidate_id,rank_ic_mean,rank_ic_std,rank_ic_t,rank_ic_abs_mean,positive_day_share,n_days,finite_rows,rank_ic_mean_abs_rank
PV-028,0.0386231400343717,0.13835779068893364,7.469653757448208,0.11324745092998915,0.6229050279329609,716,728662,35
HF-059,0.037928879804016644,0.06528839367139022,15.544993472253244,0.059903521749967055,0.7332402234636871,716,728662,36
HF-039,0.03757002622086934,0.120676977725013,8.330548253166796,0.10225068114410586,0.6368715083798883,716,728662,37
INT-009,0.03685448159538499,0.050647038300703745,19.457600105588547,0.050535358054472033,0.7622377622377622,715,728662,38
PV-037,0.03679614197975138,0.10873281889219098,9.055202146329732,0.09088706224167352,0.6410614525139665,716,728662,39
INT-017,0.03611170820372468,0.10307442215283316,9.374619184550516,0.08544462480169546,0.6452513966480447,716,728662,40
HF-065,0.0360075301250812,0.0740427266538246,13.012700686429474,0.06436826807644581,0.7039106145251397,716,728662,41
HF-068,0.03577369343400103,0.0773638426726927,12.373206442097818,0.06859051204016128,0.6871508379888268,716,728662,42
INT-013,0.03552755303325218,0.06844984926111587,13.888307111881355,0.060144579361797,0.696927374301676,716,728662,43
PV-036,0.03531280413345594,0.11091497291797447,8.519194609313644,0.0940684859488725,0.6284916201117319,716,728662,44
HF-067,0.03507919215867769,0.060694011995883534,15.61583341030248,0.05575914654919426,0.7246575342465753,730,728662,45
PV-024,0.03490834106767815,0.149880198160714,6.2322011633862076,0.12105607607396565,0.6033519553072626,716,728662,46
PV-043,0.03467443606014319,0.1279004439608892,7.254272504289388,0.1050684058268509,0.6215083798882681,716,728662,47
HF-049,0.03442830614623069,0.06891403205387354,13.498000058295972,0.05988602038270775,0.7082191780821918,730,728662,48
PV-026,0.034411166764819597,0.10092473876621544,9.123432757361446,0.0852272227063093,0.6480446927374302,716,728662,49
HF-045,0.03431124164735679,0.0678511523909515,13.531181437949389,0.06210255407507152,0.7011173184357542,716,728662,50
HF-037,-0.034084203917130455,0.11159159831263281,-8.252453521054315,0.09276543276637536,0.35342465753424657,730,728662,51
HF-048,0.03235312871832651,0.09817270225336684,8.904037293679437,0.08113754183745073,0.6397260273972603,730,728662,52
INT-016,0.03227056610952942,0.09212108546365702,9.373548884879625,0.07764724976838061,0.6494413407821229,716,728662,53
INT-005,0.031299790352674835,0.06738032691413848,12.42981961365972,0.059581665892998494,0.6815642458100558,716,728662,54
HF-070,0.031237972651380237,0.07178831399137191,11.756837532331517,0.06375074994711986,0.6835616438356165,730,728662,55
HF-062,0.029929825863174643,0.05562363375867386,14.39797265248569,0.050485570646446896,0.7220670391061452,716,728662,56
INT-006,0.02991591515037044,0.05906109019680045,13.55368364715138,0.05238742561205526,0.6843575418994413,716,728662,57
PV-027,0.028120546088101384,0.09306497747978107,8.085259899387838,0.07666105202711149,0.6229050279329609,716,728662,58
PV-030,0.02803946090462836,0.09348476523072057,8.025744483249747,0.07697639817040171,0.6201117318435754,716,728662,59
HF-054,-0.027458708312723516,0.09909402623154848,-7.414624135351207,0.08167349977685576,0.3659217877094972,716,728662,60
PV-031,0.025845819954739196,0.08964129974853374,7.715048860707978,0.07265682304655362,0.6201117318435754,716,728662,61
HF-053,0.025611364081276206,0.06524170166554065,10.504223194683659,0.05485273493768017,0.6634078212290503,716,728662,62
INT-007,0.024831452977417085,0.04352583427508072,15.265517781121913,0.04000746549958533,0.7276536312849162,716,728662,63
PV-035,0.02481122395916067,0.10545344124945319,6.295698817989563,0.08662602730994973,0.5977653631284916,716,728662,64
INT-015,0.02368613619649853,0.1247813352143404,5.079267725489953,0.10159742739943133,0.5684357541899442,716,728662,65
HF-057,0.02267717187089582,0.05400852281733737,11.23525939460357,0.04519209347018634,0.6675977653631285,716,728662,66
INT-008,0.022331276036580278,0.055021020808910935,10.860289628654568,0.047146519213497856,0.6634078212290503,716,728662,67
PV-034,0.019341903513155668,0.06330311604453574,8.175807083736217,0.0532581734640492,0.6466480446927374,716,728662,68
HF-044,0.018301594940744913,0.055181033426082673,8.96108381768167,0.046026449286906385,0.6397260273972603,730,728662,69
PV-029,0.014415153463088201,0.07591806090273127,5.080783326998564,0.05771262091497701,0.553072625698324,716,728662,70
PV-032,-0.011306876376672622,0.07366091226022042,-4.107353309072568,0.058149631691283635,0.42178770949720673,716,728662,71
INT-010,0.011235206356872529,0.09280578947225883,3.270901109043627,0.07249988537057526,0.547945205479452,730,728662,72
PV-025,0.00987724101291808,0.07377031004036451,3.5827009055446926,0.05689990010048274,0.5432960893854749,716,728662,73
HF-060,0.007526097223242632,0.03778558119436431,5.329668887954897,0.03064557893028301,0.5796089385474861,716,728662,74
HF-052,0.0068799323472672185,0.07806832457437313,2.3810621898456583,0.05970190693143271,0.5328767123287671,730,728662,75
PV-039,0.0007766567485888872,0.09998357915197795,0.2098755615007885,0.07678319883391863,0.46986301369863015,730,728662,76
