candidate,selection_role,selection_reason,active_days,evaluation_years,evaluation_protocol,i_trial_passed,i_quality_passed,i_linear_signal_passed,i_residual_signal_passed,i_redundancy_passed,i_trial_reasons,i_coverage,i_active_days,i_rank_ic_mean,i_residual_rank_ic,i_max_abs_rank_correlation,individual_passed,individual_reasons,force_refreshed,evaluation_status,frozen_after_validation,feature,benchmark,passed
self__OB-001,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__OB-001,incremental_entry,False
self__OB-002,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,730.0,-0.013156505152581507,-0.0058321114207553065,0.26296102244328945,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__OB-002,incremental_entry,False
self__OB-003,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__OB-003,incremental_entry,False
self__OB-004,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__OB-004,incremental_entry,False
self__OB-005,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,730.0,-0.01567879429244684,-0.016460081127367267,0.22808110883494043,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__OB-005,incremental_entry,False
self__PV-001,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,720,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,720.0,-0.01054594690734499,-0.001340710421248227,0.8357961761821274,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__PV-001,incremental_entry,False
self__PV-002,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,730.0,-0.0295289263122145,-0.008866670065197087,0.28028728152517307,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__PV-002,incremental_entry,False
self__PV-003,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,721,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-003,incremental_entry,False
self__PV-004,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,721,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-004,incremental_entry,False
self__PV-005,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,721,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-005,incremental_entry,False
