variant,raw_open_to_open,neut_open_to_open,neut_open_to_open_ir,neut_open_to_open_t,neut_sharpe_q5,neut_stress_ic,neut_stress_ir,stress_days,days
o2o_k15_20260812,0.06254431410576511,0.044998452240840675,0.8571580759691356,13.279035813182617,7.511312686004122,0.02965713033854179,0.5828099235872751,60,240
o2o_k15_20260823,0.06481322253126146,0.04820685560534709,0.9392873049272273,14.551376357148797,8.636967303906777,0.035608750659817924,0.7669233868765867,60,240
o2o_k21045_20260801,0.06587013315674291,0.04697906020810735,0.8174381489158409,12.663697349222682,7.158566779261252,0.036246477038984384,0.6494985876577801,60,240
o2o_k21045_20260812,0.06622824487303877,0.047684468291326575,0.8395941146413646,13.006936094319064,7.209168712583683,0.035449019678117394,0.6505429819466214,60,240
o2o_k21045_20260823,0.06198194645227802,0.04546813859440206,0.9035981900348748,13.99848296667294,7.785522719818266,0.035364888412409035,0.7568216700905182,60,240
o2o_k3_20260801,0.06624040090330371,0.04841497921567443,0.7832508799051605,12.13407045509997,6.337459418841024,0.030751838954990604,0.527597945790086,60,240
o2o_k3_20260812,0.057883729472506376,0.04194130549554858,0.8712931338677226,13.498015188538236,6.595414651352012,0.030863382977048773,0.6075721058709013,60,240
o2o_k3_20260823,0.06372304486189061,0.04726250721423737,0.9080649317152167,14.067681431232039,7.650954513489812,0.03704585163074735,0.7101481648554083,60,240
o2o_k53012_20260801,0.06367688077788368,0.045866894856465154,0.8326396253838638,12.899197610016348,7.0517690731544205,0.03490709031819791,0.6763286627357005,60,240
o2o_k53012_20260812,0.06152096025223466,0.04348403354357021,0.8629885650763682,13.369361362032839,7.008984226154847,0.030866783683347155,0.6308024214239759,60,240
o2o_k53012_20260823,0.059561007068800235,0.043015534078221465,0.8445538519166983,13.08377201379479,7.934211258528673,0.030839689378706885,0.6945187528923623,60,240
o2o_k60_20260801,0.062059975805046526,0.0442758757617064,0.7886364289696138,12.217503022447211,6.642550983952217,0.028996054463332713,0.5208311092890561,60,240
o2o_k60_20260812,0.062205830276434254,0.04512996992751101,0.8917012052273913,13.814175670555073,7.544384793543222,0.030101669334401396,0.5944129841224435,60,240
o2o_k60_20260823,0.060408038388920254,0.04337385630410666,0.8909293830121555,13.80221865221171,8.03189998192621,0.029846083885983032,0.6715169508324711,60,240
o2o_no_deepsets_20260801,0.06515614233276851,0.04639223522205009,0.811537068680207,12.572278207313706,7.42773987963499,0.033809104620172364,0.6320821946619044,60,240
o2o_no_deepsets_20260812,0.06188381484302343,0.04419974031900688,0.8845421130062341,13.703267490769054,7.6075493264138805,0.03183152776690026,0.623962850366072,60,240
o2o_no_deepsets_20260823,0.0615339601927106,0.04529870331022523,0.9477967844236457,14.683204646646885,8.97324126078112,0.0344683416281807,0.7469360166150187,60,240
o2o_seq_only_20260801,0.06459026961552002,0.04567880316321223,0.7801275785382639,12.085684478383259,6.48984608354145,0.03268672202660882,0.6158312586558408,60,240
o2o_seq_only_20260812,0.06558605057757949,0.04657636665641153,0.8503690940134605,13.173861356974488,7.700171060865093,0.0342344029448464,0.6669459493164109,60,240
o2o_seq_only_20260823,0.06337749351872869,0.04636867438380512,0.8500603445032638,13.169078230129921,7.999037067005812,0.03335562872827334,0.6522962125471132,60,240
o2o_seq_only_20260904,0.06526669778596865,0.04652138581729986,0.7595055462520697,11.766209327945731,6.743193488325812,0.03364319254102154,0.5866712715802305,60,240
o2o_seq_only_20260915,0.06435336892165786,0.04510948843913869,0.8146498205646759,12.620500752151402,7.239057397416194,0.033381486265868315,0.6703885537897708,60,240
o2o_stats_only_20260801,0.065458415100095,0.0478111956940057,0.8077520464434982,12.513640894962514,6.9470180892826745,0.036635986788781445,0.6351960864871553,60,240
o2o_stats_only_20260812,0.0604221690435545,0.04323888363672023,0.8771692141748425,13.589047033220048,6.480935391970024,0.032709156178461665,0.6223313050423984,60,240
o2o_stats_only_20260823,0.06460256710749063,0.046424183212224315,0.8395757856581164,13.006652142931571,7.001699705153044,0.033323175911395254,0.6082820536310849,60,240
linear85_o2o,0.06798382265842537,0.05037440940758364,0.7178699770326161,11.121193863158492,5.046813789383943,0.042623942836392675,0.5343514613919192,60,240
