date,return_date,quintile,mean_o2c_return,scored_stocks,candidate_stocks,five_group_mean,excess_return,cumulative_excess_pp
2025-06-10,2025-06-11,0,0.004412160217761993,200,200,0.00418380072608066,0.0002283594916813337,-3.3155446984045525
2025-06-10,2025-06-11,1,0.005640503168106079,200,200,0.00418380072608066,0.0014567024420254196,3.3046555361871093
2025-06-10,2025-06-11,2,0.0025807310588395775,199,200,0.00418380072608066,-0.0016030696672410822,1.0928128846530765
2025-06-10,2025-06-11,3,0.0036946433782577516,200,200,0.00418380072608066,-0.0004891573478229081,2.4670111150946124
2025-06-10,2025-06-11,4,0.004590965807437897,200,200,0.00418380072608066,0.00040716508135723705,-3.548934837530251
2025-06-11,2025-06-12,0,0.0029775729775428773,200,200,0.0025589509459596183,0.000418622031583259,-3.2736824952462267
2025-06-11,2025-06-12,1,0.0026035988330841064,200,200,0.0025589509459596183,4.464788712448811e-05,3.309120324899558
2025-06-11,2025-06-12,2,0.003920123205712093,199,200,0.0025589509459596183,0.001361172259752475,1.228930110628324
2025-06-11,2025-06-12,3,0.0015429112315177918,200,200,0.0025589509459596183,-0.0010160397144418265,2.36540714365043
2025-06-11,2025-06-12,4,0.0017505484819412232,200,200,0.0025589509459596183,-0.000808402464018395,-3.629775083932091
2025-06-12,2025-06-13,0,-0.014103329181671143,200,200,-0.012254324762665447,-0.001849004419005696,-3.4585829371467964
2025-06-12,2025-06-13,1,-0.011709180176258088,200,200,-0.012254324762665447,0.0005451445864073593,3.3636347835402938
2025-06-12,2025-06-13,2,-0.012448816143687647,199,200,-0.012254324762665447,-0.00019449138102219966,1.2094809725261038
2025-06-12,2025-06-13,3,-0.013176831603050231,200,200,-0.012254324762665447,-0.0009225068403847844,2.2731564596119513
2025-06-12,2025-06-13,4,-0.009833466708660126,200,200,-0.012254324762665447,0.0024208580540053207,-3.387689278531558
2025-06-13,2025-06-16,0,0.009394176006317138,200,200,0.009395697626037213,-1.521619720074724e-06,-3.4587350991188037
2025-06-13,2025-06-16,1,0.006779327690601349,200,200,0.009395697626037213,-0.0026163699354358645,3.101997789996708
2025-06-13,2025-06-16,2,0.011870058936689368,199,200,0.009395697626037213,0.0024743613106521546,1.4569171035913193
2025-06-13,2025-06-16,3,0.009838888943195344,200,200,0.009395697626037213,0.0004431913171581304,2.3174755913277645
2025-06-13,2025-06-16,4,0.009096036553382874,200,200,0.009395697626037213,-0.0002996610726543388,-3.4176553857969925
2025-06-16,2025-06-17,0,-0.005897917449474334,200,200,-0.0013189303278923034,-0.0045789871215820305,-3.9166338112770065
2025-06-16,2025-06-17,1,-0.003609538972377777,200,200,-0.0013189303278923034,-0.0022906086444854736,2.87293692554816
2025-06-16,2025-06-17,2,-0.0009796735644340515,200,200,-0.0013189303278923034,0.00033925676345825193,1.4908427799371446
2025-06-16,2025-06-17,3,-0.0013684499263763427,200,200,-0.0013189303278923034,-4.9519598484039275e-05,2.3125236314793605
2025-06-16,2025-06-17,4,0.0052609282732009885,200,200,-0.0013189303278923034,0.006579858601093292,-2.759669525687663
2025-06-17,2025-06-18,0,0.0024384087324142456,200,200,0.00015247088670730587,0.00228593784570694,-3.6880400267063127
2025-06-17,2025-06-18,1,0.0020682746171951294,200,200,0.00015247088670730587,0.0019158037304878234,3.0645172985969427
2025-06-17,2025-06-18,2,0.00011180669069290162,200,200,0.00015247088670730587,-4.0664196014404254e-05,1.486776360335704
2025-06-17,2025-06-18,3,-0.00019341588020324707,200,200,0.00015247088670730587,-0.00034588676691055297,2.2779349547883054
2025-06-17,2025-06-18,4,-0.0036627197265625,200,200,0.00015247088670730587,-0.0038151906132698056,-3.1411885870146437
2025-06-18,2025-06-19,0,-0.013849504292011261,200,200,-0.012579771518707275,-0.001269732773303986,-3.8150133040367114
2025-06-18,2025-06-19,1,-0.013608402609825133,200,200,-0.012579771518707275,-0.0010286310911178584,2.9616541894851567
2025-06-18,2025-06-19,2,-0.012427051067352295,200,200,-0.012579771518707275,0.00015272045135497972,1.502048405471202
2025-06-18,2025-06-19,3,-0.010981351435184479,200,200,-0.012579771518707275,0.001598420083522796,2.437776963140585
2025-06-18,2025-06-19,4,-0.012032548189163208,200,200,-0.012579771518707275,0.0005472233295440668,-3.086466254060237
2025-06-19,2025-06-20,0,-0.009505748450756073,200,200,-0.005566597700119019,-0.003939150750637054,-4.208928379100417
2025-06-19,2025-06-20,1,-0.007798207104206085,200,200,-0.005566597700119019,-0.0022316094040870666,2.73849324907645
2025-06-19,2025-06-20,2,-0.004053098857402801,200,200,-0.005566597700119019,0.0015134988427162174,1.6533982897428239
2025-06-19,2025-06-20,3,-0.005054737031459808,200,200,-0.005566597700119019,0.0005118606686592107,2.4889630300065058
2025-06-19,2025-06-20,4,-0.0014211970567703247,200,200,-0.005566597700119019,0.004145400643348694,-2.6719261897253674
2025-06-20,2025-06-23,0,0.018718242347240448,200,200,0.01722495365142822,0.0014932886958122261,-4.059599509519194
2025-06-20,2025-06-23,1,0.017888697385787963,200,200,0.01722495365142822,0.000663743734359741,2.8048676225124245
2025-06-20,2025-06-23,2,0.017568984627723695,200,200,0.01722495365142822,0.00034403097629547366,1.6878013873723712
2025-06-20,2025-06-23,3,0.017264770865440367,200,200,0.01722495365142822,3.981721401214583e-05,2.4929447514077205
2025-06-20,2025-06-23,4,0.014684073030948638,200,200,0.01722495365142822,-0.002540880620479583,-2.9260142517733256
2025-06-23,2025-06-24,0,0.021353967785835266,200,200,0.01778817731142044,0.003565790474414826,-3.7030204620777116
2025-06-23,2025-06-24,1,0.018345314860343933,200,200,0.01778817731142044,0.0005571375489234927,2.8605813774047735
2025-06-23,2025-06-24,2,0.01716410130262375,200,200,0.01778817731142044,-0.0006240760087966903,1.6253937864927022
2025-06-23,2025-06-24,3,0.017063338458538056,200,200,0.01778817731142044,-0.0007248388528823847,2.420460866119482
2025-06-23,2025-06-24,4,0.0150141641497612,200,200,0.01778817731142044,-0.0027740131616592403,-3.2034155679392495
2025-06-24,2025-06-25,0,0.01251979410648346,200,200,0.010898027062416077,0.001621767044067383,-3.5408437576709737
2025-06-24,2025-06-25,1,0.01097433090209961,200,200,0.010898027062416077,7.630383968353256e-05,2.868211761373127
2025-06-24,2025-06-25,2,0.009519645571708679,200,200,0.010898027062416077,-0.001378381490707398,1.4875556374219623
2025-06-24,2025-06-25,3,0.011675623953342438,200,200,0.010898027062416077,0.0007775968909263607,2.4982205552121184
2025-06-24,2025-06-25,4,0.009800740778446197,200,200,0.010898027062416077,-0.00109728628396988,-3.3131441963362382
2025-06-25,2025-06-26,0,-0.0055435895919799805,200,200,-0.004138028025627136,-0.0014055615663528444,-3.6813999143062577
2025-06-25,2025-06-26,1,-0.005087993144989014,200,200,-0.004138028025627136,-0.0009499651193618777,2.773215249436939
2025-06-25,2025-06-26,2,-0.0045019412040710445,200,200,-0.004138028025627136,-0.0003639131784439085,1.4511643195775714
2025-06-25,2025-06-26,3,-0.004063055217266083,200,200,-0.004138028025627136,7.497280836105298e-05,2.5057178360482233
2025-06-25,2025-06-26,4,-0.0014935609698295592,200,200,-0.004138028025627136,0.002644467055797577,-3.04869749075648
2025-06-26,2025-06-27,0,0.0031285282969474794,200,200,0.002552774727344513,0.0005757535696029664,-3.623824557345961
2025-06-26,2025-06-27,1,0.0019215828180313111,200,200,0.002552774727344513,-0.0006311919093132019,2.7100960585056186
2025-06-26,2025-06-27,2,0.002552079260349274,200,200,0.002552774727344513,-6.954669952391294e-07,1.4510947728780477
2025-06-26,2025-06-27,3,0.003414137065410614,200,200,0.002552774727344513,0.0008613623380661008,2.5918540698548336
2025-06-26,2025-06-27,4,0.0017475461959838867,200,200,0.002552774727344513,-0.0008052285313606264,-3.129220343892543
2025-06-27,2025-06-30,0,0.010814890265464783,200,200,0.00875864428281784,0.002056245982646943,-3.418199959081267
2025-06-27,2025-06-30,1,0.013997840285301209,200,200,0.00875864428281784,0.005239196002483369,3.234015658753956
2025-06-27,2025-06-30,2,0.010796376168727875,200,200,0.00875864428281784,0.0020377318859100355,1.6548679614690511
2025-06-27,2025-06-30,3,0.005797881186008453,200,200,0.00875864428281784,-0.002960763096809387,2.2957777601738947
2025-06-27,2025-06-30,4,0.0023862335085868837,200,200,0.00875864428281784,-0.006372410774230956,-3.766461421315638
2025-06-30,2025-07-01,0,0.000839453637599945,200,200,0.0035539115071296693,-0.0027144578695297242,-3.689645746034239
