experiment,arm,label,seed,block,age_start,age_end,date_start,date_end,with_ic,with_icir,without_ic,without_icir,effect_ic
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260823,3,121,180,2024-07-04,2024-09-27,0.03316127899429355,0.8689011579383924,0.03436892121075453,0.6420804783257918,-0.0012076422164609732
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260823,4,181,240,2024-09-30,2024-12-27,0.03597839628353142,0.6976178945135796,0.033322597595898035,0.5994341755517504,0.002655798687633402
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260801,1,1,60,2024-01-02,2024-04-02,0.04120641357324204,1.0407380265556445,0.03846875878332183,0.9686087643977894,0.002737654789920216
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260801,2,61,120,2024-04-03,2024-07-03,0.040714434120747156,1.0221648052486974,0.027630801692221683,0.6671651688794651,0.013083632428525485
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260801,3,121,180,2024-07-04,2024-09-27,0.03205372519143661,0.721749084640684,0.028049156504059664,0.5946229975003788,0.004004568687376941
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260801,4,181,240,2024-09-30,2024-12-27,0.038738667973032874,0.6509833309353512,0.031431348032649936,0.5939485549700805,0.007307319940382937
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260812,1,1,60,2024-01-02,2024-04-02,0.039730493347691874,1.0300010950586365,0.03594699778982174,0.9265055419057544,0.0037834955578701338
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260812,2,61,120,2024-04-03,2024-07-03,0.039911955883827246,0.9828572298647363,0.02787798158089504,0.7103010290037552,0.012033974302932213
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260812,3,121,180,2024-07-04,2024-09-27,0.033241628616997414,0.8127493047063101,0.02788154478447891,0.7652817268376165,0.005360083832518503
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260812,4,181,240,2024-09-30,2024-12-27,0.03853775951294737,0.676927951392319,0.030789838019427643,0.6071427013668682,0.0077479214935197134
