train_start,train_end,test_start,test_end,factorlib__amount,factorlib__atr_14,factorlib__bias_20,factorlib__cci_14,factorlib__float_market_cap,factorlib__kdj_d_9_3_3,factorlib__macd_diff_12_26_9,factorlib__macd_hist_12_26_9,factorlib__momentum_5,factorlib__net_profit_rate_ttm,factorlib__netflow_amount_rate_main,factorlib__total_market_cap,factorlib__turn,factorlib__volatility_5,factorlib__volume,self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011
2022-08-03,2022-11-02,2022-11-03,2022-11-30,0.02134900685127269,0.0019123144154800712,0.0,0.0,0.0,0.0,0.017949950454518613,0.0,0.020183571073827285,0.0011583669638231555,0.02631554062658819,0.016230634373323304,0.04500488949951753,0.0,0.006713594652060984,0.0,0.016210272784985227,0.0046859830039854625,0.004807682998514648,0.0019073034655761262
2022-08-31,2022-11-30,2022-12-01,2022-12-28,0.035540027351090006,0.004707372661632283,0.0,0.0,0.0,0.0,0.022522824046211618,0.0,0.04868986475555631,0.0,0.025255329308814942,0.010950731782339523,0.030954393551950614,0.0,0.0,0.0,0.0031600655405945753,0.0,0.008714725537400162,0.011065775929559367
2022-09-29,2022-12-28,2022-12-29,2023-02-02,0.04414681462761587,0.0018287020953589271,0.0,0.0,0.0,0.0,0.023406928461607704,0.0,0.041921353127332646,0.0,0.039892764286938984,0.01773739775474487,0.022449657476497797,0.0,0.0,0.0,0.0,0.0,0.0,0.01334576373639773
2022-11-03,2023-02-02,2023-02-03,2023-03-02,0.010779670935996083,0.008750562148921733,0.0,0.0,0.0,0.0,0.04239203254259717,0.0,0.048640702385658735,0.0,0.03048685228026176,0.024522707080116026,0.026687300498377114,0.021772834194263135,0.0,0.0,0.0,0.0,0.0,0.012396844375787567
2022-12-01,2023-03-02,2023-03-03,2023-03-30,0.009839355041665152,0.007988367224365845,0.0,0.0,0.0,0.0,0.02072236579182211,0.0,0.04625304018951361,0.0033053243772721177,0.034156864054431746,0.028529683251727698,0.0274276775384642,0.021870893576878787,0.0,0.000166157841896216,0.0,0.0,0.0,0.0
2022-12-29,2023-03-30,2023-03-31,2023-04-28,0.015793463778736937,0.00351043177315759,0.0,0.0,0.0,0.0,0.01424114565750332,0.0,0.01830731826493883,0.0,0.03364765378551667,0.03633895466408558,0.020612250968999102,0.005615761080464044,0.0,0.002014060317375696,0.009081815545726155,0.0,0.0,0.0
2023-02-03,2023-04-28,2023-05-04,2023-05-31,0.006238583266199154,0.02625870695538776,0.0,0.0,0.0,0.0,0.0,0.0009567154774034567,0.026046306006725375,0.0,0.03422719376753124,0.021729734174387196,0.023981112854573675,0.007050107506672229,0.0,0.035739456561733225,0.0056685022255922755,0.0,0.0,0.0
2023-03-03,2023-05-31,2023-06-01,2023-06-30,0.016427453964106564,0.002174874596449588,0.003499301101396757,0.0,0.0,0.0,0.0,0.01251081884392163,0.0,5.112434914598762e-05,0.0170293473522857,0.017332334406330765,0.0023844909324136957,0.01298550269165435,0.0,0.018843307542356094,0.014340809630228603,0.0,0.0002120790653758398,0.0
2023-03-31,2023-06-30,2023-07-03,2023-07-28,0.000922238875078991,0.014588115512975253,0.007399500428553037,0.0,0.0,0.0,0.016047556753616753,0.019298942064260305,0.0,0.0,0.009078577350145197,0.01039789387632288,0.008452872543611779,0.034191064117608895,0.0,0.014639386853956994,0.007713745635713147,0.006191140346701213,0.0019501360533646745,0.005970682369435798
2023-05-04,2023-07-28,2023-07-31,2023-08-25,0.018093296316288043,0.02499917453286954,0.0,0.0,0.0,0.0,0.03952061045529462,0.0,0.0,0.0,0.02069660036344606,0.017363227249621905,0.030944340481762065,0.0295467932864852,0.0,0.005120913723128048,0.004887974687579116,0.0018511311753160503,0.005177018766168179,0.003256918267388403
2023-06-01,2023-08-25,2023-08-28,2023-09-22,0.008240548074532585,0.03424025335645892,0.0013060257953212847,0.01018811029863174,0.0,0.0,0.013618331219142688,0.0,0.0,0.0,0.029344069214995664,0.012538873370996035,0.06751189606133988,0.015433503389865199,0.0,0.01635159542270479,0.0,0.0010603885431721596,0.0,0.0020987895874022442
2023-07-03,2023-09-22,2023-09-25,2023-10-30,0.03322405476782509,0.027560556627618193,0.0,0.012117188909812315,0.0,0.0,0.025944585627560655,0.0,0.0,0.0,0.02288136814487612,0.01351052746248672,0.06455259999263066,0.004575001151830502,0.0,0.02205584336405134,0.0,0.0,0.0005156772380488358,0.0026183068836639536
2023-07-31,2023-10-30,2023-10-31,2023-11-27,0.02639767363061941,0.0003774621778352998,0.0,0.025666545306515635,0.0,0.028330338262665147,0.0,0.011887018432807796,0.0,0.003775283222902445,0.011927556349850339,0.010052031042861547,0.03831283973234781,0.0,0.0,0.030129200465683376,0.0,0.0,0.0,0.016242313256414034
2023-08-28,2023-11-27,2023-11-28,2023-12-25,0.01937937100965347,0.0,0.02581053517252552,0.0,0.0,0.016306166058937553,0.009025513308815127,0.018425579465031393,0.0,0.00270008336923741,0.016657930081888317,0.02530491554700774,0.02293775234312276,0.0,0.01671987926172098,0.009358293072540616,0.0,0.0,0.0,0.011371765171161117
2023-09-25,2023-12-25,2023-12-26,2023-12-29,0.040102895125519226,0.0032473833116288394,0.02002361253502172,0.0,0.0,0.015645076518672488,0.0,0.0,0.009975609640440728,0.008349414587826925,0.023952855382515396,0.005707851486788747,0.02502219671260591,0.0,0.0,0.016042011941377197,0.0,0.0,0.007753040794752119,0.023683229125512618
