candidate,evaluation_protocol,candidate_level_J_computed,individual_baseline_candidates,baseline_a_proxy,augmented_a_proxy,delta_a_proxy,baseline_b_proxy,augmented_b_proxy,delta_b_proxy,baseline_score_proxy,augmented_score_proxy,delta_score_proxy,baseline_b_model_score,augmented_b_model_score,baseline_b_nonzero_window_ratio,augmented_b_nonzero_window_ratio,score_days,score_weight_windows,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_score_years,score_years,positive_score_window_ratio,score_windows,individual_passed,individual_reasons,active_days,tree_data_eligible,conditional_passed,tree_incremental_passed,evaluation_status,marginal_reasons,reasons,frozen_after_validation,conditional_order,conditional_baseline_candidates,conditional_delta_score_proxy,conditional_positive_window_ratio,conditional_positive_years,conditional_reasons
self__PV-009,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8378378378378378,0.05405405405405406,0.8405405405405405,0.8783783783783784,0.037837837837837895,1.4371268703829252,1.6397376840955966,0.8709677419354839,0.967741935483871,670.0,31.0,0.06075212355536609,0.0611247146109748,0.00037259105560871015,0.0,0.0,0.0,0.0,True,,527,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,9.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-010,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.918918918918919,0.1351351351351352,0.8405405405405405,0.9351351351351351,0.09459459459459463,1.4371268703829252,1.918428284314555,0.8709677419354839,0.967741935483871,670.0,31.0,0.06075212355536609,0.0611780514078401,0.0004259278524740073,0.0,0.0,0.0,0.0,True,,531,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,2.0,self__PV-008,0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-011,factorwise_T_v5_official_J,True,,0.972972972972973,0.9797297297297297,0.006756756756756688,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8236486486486487,-0.016891891891891775,1.4371268703829252,1.4251887720308023,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.06208881773088737,0.001336694175521281,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,478,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__PV-013,factorwise_T_v5_official_J,True,,0.972972972972973,0.9797297297297297,0.006756756756756688,0.7837837837837838,0.8378378378378378,0.05405405405405406,0.8405405405405405,0.8804054054054054,0.039864864864864846,1.4371268703829252,1.5989637628126276,0.8709677419354839,0.967741935483871,670.0,31.0,0.06075212355536609,0.061511011457165615,0.0007588879017995279,0.0,0.0,0.0,0.0,True,,478,True,True,True,promoted_to_frozen_T,,,True,8.0,"self__PV-008,self__OB-003,self__PV-020",0.02094594594594601,0.0,0.0,
self__PV-014,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8648648648648649,0.08108108108108114,0.8405405405405405,0.8972972972972973,0.05675675675675684,1.4371268703829252,1.7284788613484152,0.8709677419354839,1.0,670.0,31.0,0.06075212355536609,0.06290122215164784,0.002149098596281751,0.0,0.0,0.0,0.0,True,,716,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,6.0,"self__PV-008,self__OB-003,self__PV-020",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-015,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.431064175839469,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.060618609309952776,-0.00013351424541330927,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,245,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__PV-016,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.4333574623820913,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.06058260351797585,-0.00016952003739023426,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,245,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__PV-017,,,,,,,,,,,,,,,,,,,,,,,,,,False,,127,False,False,False,,,active days below 240,,,,,,,
self__PV-018,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,False,False,False,,,active days below 240,,,,,,,
self__PV-019,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.4733668307843357,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.06079638774967347,4.426419430737854e-05,0.0,0.0,0.0,0.0,True,,331,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,21.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-020,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8918918918918919,0.10810810810810811,0.8405405405405405,0.9162162162162162,0.07567567567567568,1.4371268703829252,1.6878773437967127,0.8709677419354839,1.0,670.0,31.0,0.06075212355536609,0.0617458086750878,0.0009936851197217078,0.0,0.0,0.0,0.0,True,,720,True,True,True,promoted_to_frozen_T,,,True,4.0,"self__PV-008,self__OB-003",0.037837837837837895,0.0,0.0,
self__PV-021,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8648648648648649,0.08108108108108114,0.8405405405405405,0.8972972972972973,0.05675675675675684,1.4371268703829252,1.655687323659724,0.8709677419354839,0.967741935483871,670.0,31.0,0.06075212355536609,0.06090529746691398,0.00015317391154789122,0.0,0.0,0.0,0.0,True,,660,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,7.0,"self__PV-008,self__OB-003,self__PV-020",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-022,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8378378378378378,0.05405405405405406,0.8405405405405405,0.8783783783783784,0.037837837837837895,1.4371268703829252,1.6105371508339217,0.8709677419354839,1.0,670.0,31.0,0.06075212355536609,0.06157615705350406,0.0008240334981379769,0.0,0.0,0.0,0.0,True,,478,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,10.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-023,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.4658160331102068,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.06056757090563036,-0.0001845526497357284,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,716,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
