candidate,individual_baseline_oos_rank_ic,individual_augmented_oos_rank_ic,individual_oos_rank_ic_increment,individual_positive_window_ratio,individual_positive_years,individual_oos_days,individual_windows,conditional_baseline_oos_rank_ic,conditional_augmented_oos_rank_ic,conditional_oos_rank_ic_increment,conditional_positive_window_ratio,conditional_positive_years,conditional_oos_days,conditional_windows,evaluation_protocol,active_days,tree_data_eligible,individual_passed,conditional_passed,tree_incremental_passed,evaluation_status,reasons,frozen_after_validation
self__PV-001,0.060752123555366,0.0630013084886816,0.0022491849333155,0.7647058823529411,3.0,670.0,34.0,0.060752123555366,0.0630013084886816,0.0022491849333155,0.7647058823529411,3.0,670.0,34.0,frozen_pool_increment_T_v2,720,True,True,True,True,frozen_prior_evaluation,,True
self__PV-002,0.060752123555366,0.060473006617615,-0.000279116937751,0.6176470588235294,2.0,670.0,34.0,0.060752123555366,0.060473006617615,-0.000279116937751,0.6176470588235294,2.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive | conditional: tree OOS Rank IC increment is not positive,False
self__PV-003,0.060752123555366,0.0606059641475518,-0.0001461594078141,0.6176470588235294,1.0,670.0,34.0,0.060752123555366,0.0606059641475518,-0.0001461594078141,0.6176470588235294,1.0,670.0,34.0,frozen_pool_increment_T_v2,721,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree increment is positive in too few development years,False
self__PV-004,0.060752123555366,0.0603759136880335,-0.0003762098673325,0.3823529411764705,0.0,670.0,34.0,0.060752123555366,0.0603759136880335,-0.0003762098673325,0.3823529411764705,0.0,670.0,34.0,frozen_pool_increment_T_v2,721,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__PV-005,0.060752123555366,0.0604624091372652,-0.0002897144181008,0.3235294117647059,1.0,670.0,34.0,0.060752123555366,0.0604624091372652,-0.0002897144181008,0.3235294117647059,1.0,670.0,34.0,frozen_pool_increment_T_v2,721,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__PV-006,0.060752123555366,0.0591885778409396,-0.0015635457144264,0.3235294117647059,0.0,670.0,34.0,0.060752123555366,0.0591885778409396,-0.0015635457144264,0.3235294117647059,0.0,670.0,34.0,frozen_pool_increment_T_v2,720,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__PV-008,0.060752123555366,0.0616867141533151,0.000934590597949,0.4705882352941176,1.0,670.0,34.0,0.060752123555366,0.0616867141533151,0.000934590597949,0.4705882352941176,1.0,670.0,34.0,frozen_pool_increment_T_v2,531,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__PV-009,0.060752123555366,0.0611247146109748,0.0003725910556087,0.5588235294117647,2.0,670.0,34.0,0.060752123555366,0.0611247146109748,0.0003725910556087,0.5588235294117647,2.0,670.0,34.0,frozen_pool_increment_T_v2,527,True,True,True,True,frozen_prior_evaluation,,True
self__PV-010,0.060752123555366,0.0611780514078401,0.000425927852474,0.3529411764705882,2.0,670.0,34.0,0.060752123555366,0.0611780514078401,0.000425927852474,0.3529411764705882,2.0,670.0,34.0,frozen_pool_increment_T_v2,531,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate | conditional: tree positive-window ratio is below the gate,False
self__PV-011,0.060752123555366,0.0620888177308873,0.0013366941755212,0.4117647058823529,2.0,670.0,34.0,0.060752123555366,0.0620888177308873,0.0013366941755212,0.4117647058823529,2.0,670.0,34.0,frozen_pool_increment_T_v2,478,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate | conditional: tree positive-window ratio is below the gate,False
self__PV-013,0.060752123555366,0.0615110114571656,0.0007588879017995,0.3823529411764705,2.0,670.0,34.0,0.060752123555366,0.0615110114571656,0.0007588879017995,0.3823529411764705,2.0,670.0,34.0,frozen_pool_increment_T_v2,478,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate | conditional: tree positive-window ratio is below the gate,False
self__PV-014,0.060752123555366,0.0629012221516478,0.0021490985962817,0.9117647058823528,3.0,670.0,34.0,0.060752123555366,0.0629012221516478,0.0021490985962817,0.9117647058823528,3.0,670.0,34.0,frozen_pool_increment_T_v2,716,True,True,True,True,frozen_prior_evaluation,,True
self__PV-015,0.060752123555366,0.0606186093099527,-0.0001335142454133,0.088235294117647,0.0,670.0,34.0,0.060752123555366,0.0606186093099527,-0.0001335142454133,0.088235294117647,0.0,670.0,34.0,frozen_pool_increment_T_v2,245,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__PV-016,0.060752123555366,0.0605826035179758,-0.0001695200373902,0.1470588235294117,0.0,670.0,34.0,0.060752123555366,0.0605826035179758,-0.0001695200373902,0.1470588235294117,0.0,670.0,34.0,frozen_pool_increment_T_v2,245,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__PV-017,,,,,,,,,,,,,,,,127,False,False,False,False,,active days below 240,
self__PV-018,,,,,,,,,,,,,,,,0,False,False,False,False,,active days below 240,
self__PV-019,0.060752123555366,0.0607963877496734,4.426419430737854e-05,0.2647058823529412,1.0,670.0,34.0,0.060752123555366,0.0607963877496734,4.426419430737854e-05,0.2647058823529412,1.0,670.0,34.0,frozen_pool_increment_T_v2,331,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__PV-020,0.060752123555366,0.0617458086750878,0.0009936851197217,0.5588235294117647,2.0,670.0,34.0,0.060752123555366,0.0617458086750878,0.0009936851197217,0.5588235294117647,2.0,670.0,34.0,frozen_pool_increment_T_v2,720,True,True,True,True,frozen_prior_evaluation,,True
self__PV-021,0.060752123555366,0.0609052974669139,0.0001531739115478,0.5,2.0,670.0,34.0,0.060752123555366,0.0609052974669139,0.0001531739115478,0.5,2.0,670.0,34.0,frozen_pool_increment_T_v2,660,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate | conditional: tree positive-window ratio is below the gate,False
self__PV-022,0.060752123555366,0.061576157053504,0.0008240334981379,0.3823529411764705,2.0,670.0,34.0,0.060752123555366,0.061576157053504,0.0008240334981379,0.3823529411764705,2.0,670.0,34.0,frozen_pool_increment_T_v2,478,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate | conditional: tree positive-window ratio is below the gate,False
self__PV-023,0.060752123555366,0.0605675709056303,-0.0001845526497357,0.3823529411764705,0.0,670.0,34.0,0.060752123555366,0.0605675709056303,-0.0001845526497357,0.3823529411764705,0.0,670.0,34.0,frozen_pool_increment_T_v2,716,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
