strategy,strategy_name,scenario,buy_cost_bps,sell_cost_bps,slippage_bps,phase,days,signal_start,signal_end,entry_start,exit_end,annualized_return,cagr,sharpe,max_drawdown,total_return,average_one_way_turnover,average_traded_nav_ratio,annualized_cost_drag,mean_gross_exposure,max_abs_net_exposure,blocked_trade_name_events,missing_price_held_events,terminal_residual_value
rebalance_2d,每两日调仓,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.08537100799199455,0.087313330343463,1.4867108657104149,-0.06940217872782806,0.1421046317711756,0.7165875287703752,1.4331750575407505,0.19870912859891102,2.0020119715972227,0.024297994958474275,171,292,0.005790394410848907
rebalance_2d,每两日调仓,fees_slip0,3.0,8.0,0.0,1,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.025981900377510674,0.025015672882868545,0.514272211692212,-0.0679642084185873,0.03999810786919755,0.7163196848105363,1.4326393696210726,0.19861929836734388,2.000297945146924,0.01304907506635475,76,114,0.0
rebalance_2d,每两日调仓,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.013116042506145627,0.011487672026133433,0.22530594928435319,-0.09678154457364496,0.018295814495334906,0.7163818048967022,1.4327636097934044,0.27086337742953737,2.0020548876282187,0.024297994958474307,171,292,0.005386296068693802
rebalance_2d,每两日调仓,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.0951900430576457,-0.09245340876258568,-1.5857312535444836,-0.15414918705705105,-0.14271488025434587,0.7160760892364618,1.4321521784729236,0.3790185058784171,2.0021214626221324,0.024297994958474317,171,292,0.004832400228577881
rebalance_5d,每五日调仓,gross,0.0,0.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.15487959631898457,0.16568751882947486,2.805229697160837,-0.04586937532177082,0.275516105720339,0.2931975419312368,0.5863950838624736,0.0,2.0029157938135898,0.02530540558135593,65,285,0.006796007156625932
rebalance_5d,每五日调仓,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.07356749622386272,0.07464458807908358,1.3134576827050322,-0.06097501946710626,0.12105457516198959,0.2929617585648561,0.5859235171297122,0.08124778563349049,2.0029685400698334,0.025324685250482055,65,285,0.006267341509405806
rebalance_5d,每五日调仓,fees_slip0,3.0,8.0,0.0,1,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.1568848892183863,0.1685321089028906,3.357224507435579,-0.022676304201800335,0.28046028186566296,0.2944614734963289,0.5889229469926578,0.0816843938343856,2.004760987287244,0.027742210325331286,77,338,0.00591569890364667
rebalance_5d,每五日调仓,fees_slip0,3.0,8.0,0.0,2,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.06440170132579234,0.06534918459345751,1.3764600373311064,-0.038574084477708825,0.105701910552646,0.29532989187945013,0.5906597837589003,0.08190231258222683,2.002502350263393,0.015284845899988915,65,297,0.005211061086048614
rebalance_5d,每五日调仓,fees_slip0,3.0,8.0,0.0,3,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.07473914404270086,0.07619186684843182,1.4642947340552934,-0.04285864219522029,0.12361772184800324,0.2951865645754879,0.5903731291509758,0.08186415326739878,1.998070827559909,0.023678416689212313,36,144,0.0
rebalance_5d,每五日调仓,fees_slip0,3.0,8.0,0.0,4,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.10085470378914047,0.10469550622661261,2.002017766604451,-0.025629297755720315,0.17122147695325185,0.29526740742763985,0.5905348148552797,0.08189310774730804,1.9982188470940445,0.024107389905786033,35,114,0.0
rebalance_5d,每五日调仓,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.044045706336799495,0.04334587576009108,0.7760884683434455,-0.07024052703116179,0.06967359579865406,0.29287678637425746,0.5857535727485149,0.11074621407022131,2.00298810342432,0.025331719636237336,65,285,0.006085569758894911
rebalance_5d,每五日调仓,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.0002052303327953009,-0.0019017484460556178,-0.003520760522901267,-0.08396775893732977,-0.0030169621217741582,0.2927500697225398,0.5855001394450796,0.15496212970455037,2.0030178477229734,0.025342280538328186,65,285,0.00582274674381727
rank_mean_3d,三日平均排名,gross,0.0,0.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.2914535928231452,0.33602836361425936,5.167151502163645,-0.037272006520559064,0.5838258457628138,0.7269643164358405,1.453928632871681,0.0,2.0059024851145213,0.015011566950997967,726,661,0.012257864762022883
rank_mean_3d,三日平均排名,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.08972271332926114,0.09212161101467697,1.5916444517124342,-0.09063523451331756,0.1501318246141896,0.7266473079157482,1.4532946158314963,0.20149857514225014,2.0064984419055087,0.015027362266331569,726,661,0.010745914660166236
rank_mean_3d,三日平均排名,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.016434006451955637,0.014959163226486938,0.2915639188163719,-0.1170322623527369,0.023848795038374337,0.7265368292517889,1.4530736585035777,0.2747028631324456,2.0067401108017737,0.015033122517981112,726,661,0.010259723647857414
rank_mean_3d,三日平均排名,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.09345961696369673,-0.09068461769900737,-1.6581883110843814,-0.16249151779339033,-0.1400612478656693,0.7263755729996307,1.4527511459992615,0.384469895299573,2.0071309883992594,0.015041769752074406,726,661,0.009586336435902409
rank_mean_5d,五日平均排名,gross,0.0,0.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.2884604910786983,0.331956751956201,5.01539958180241,-0.0346814806593051,0.5761711390894155,0.5172441062680333,1.0344882125360666,0.0,2.0026790167500788,0.015029846664473306,410,350,0.006961777426710646
rank_mean_5d,五日平均排名,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.14489683966622793,0.153965321918744,2.5171853663408315,-0.063074139117834,0.25521656908586654,0.5170738356216638,1.0341476712433275,0.1434048832744011,2.002766459161453,0.015046870767935993,410,350,0.006035395199485289
rank_mean_5d,五日平均排名,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.0927405217706811,0.0953459212460086,1.6104013217581041,-0.07943909046190889,0.1555262984371566,0.5170146930373353,1.0340293860746705,0.19550357050481093,2.0027993465080045,0.015053080174531896,410,350,0.005730185844129339
rank_mean_5d,五日平均排名,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.014527065473860958,0.012952913432324076,0.25205726449298904,-0.10418434216322381,0.020638244721291166,0.5169285910295709,1.0338571820591418,0.27363062755619744,2.002849821538068,0.01506240125062655,410,350,0.005301066285965574
