strategy,name,turnover,turnover_reduction_vs_daily,gross_annualized,net_annualized,net_sharpe,net_cumulative,max_drawdown,net_annualized_delta,gross_annualized_delta,net_2025_annualized,net_2025_sharpe,net_2026_annualized,net_2026_sharpe,net_slip2_annualized,net_slip2_sharpe,net_slip5_annualized,net_slip5_sharpe,turnover_lower_net_and_sharpe_higher,annualized_beats_daily_both_years
every_5d_phase1,每 5 日调仓 / 相位 1,0.3134773416116763,0.791716153748921,0.2103024489616869,0.1230815141686701,0.7475711356393928,0.1909484118145292,-0.1708321333895203,-0.01209794183571021,-0.34315878201788885,0.1524005003106289,1.140311586547262,0.0782732523290727,0.3845736083895587,0.0914184655932885,0.5558002481195374,0.0439600141969501,0.2673681307836574,False,False
every_5d_phase2,每 5 日调仓 / 相位 2,0.3143238003125085,0.7911537409346627,0.3184838041849294,0.2311490120191167,1.3497904275324926,0.4125565099455472,-0.1491449030129724,0.09596955601473639,-0.2349774267946464,0.1606246423548711,1.2460346782582887,0.3389315392418316,1.5327072460162448,0.1994540282063581,1.1632527523860912,0.1519481767010733,0.8836559798559506,True,True
every_5d_phase3,每 5 日调仓 / 相位 3,0.3139276890206282,0.79141692928184,0.2195538074799642,0.1322197929343951,0.8148645238538789,0.2092158622426827,-0.1615658418360431,-0.0029596630699852133,-0.33390742349961156,0.0257233160877302,0.1947780195072032,0.2949785594359018,1.476150725944244,0.1005164760096073,0.6199257982673553,0.052998277978176,0.3268495950727532,False,False
every_5d_phase4,每 5 日调仓 / 相位 4,0.3120430070744264,0.7926691690855103,0.1980374219810801,0.1113292252720042,0.7047656104847762,0.1708663380223554,-0.2051059647260754,-0.023850230732376104,-0.3554238089984957,0.1340067070147864,1.0715557132105091,0.0766711871368087,0.3864166839091713,0.0798505148868478,0.5051819909351578,0.0326680014508772,0.206249736257219,False,False
partial_25,25% 渐进调仓,0.37182519174319,0.7529480737869321,0.2702723838565803,0.1670193984108039,0.9957868400982612,0.2763975105172536,-0.1661326906678377,0.0318399424064236,-0.28318884712299547,0.1366305447486005,1.0685266335547927,0.213462740800209,0.9916031941613238,0.1294883988186145,0.7721146911599168,0.0731849579544401,0.4364624389395972,True,True
partial_50,50% 渐进调仓,0.7587440092224131,0.4958674851958681,0.3810753537328689,0.1703273642185042,1.072640481798513,0.2861121546598189,-0.1438722709302745,0.03514790821412389,-0.1723858772467069,0.1552452815324495,1.2648047147222654,0.1933773396443614,0.9559977267489558,0.0937524709364904,0.5905030544011795,-0.0210820210036459,-0.1328167113926979,True,True
partial_75,75% 渐进调仓,1.1362409506747877,0.24504707658362956,0.473425269790553,0.1577283546669468,0.9705735808844248,0.2593434024787096,-0.1328184962986806,0.022548898662566486,-0.08003596118902279,0.1402108614107906,1.1034622828813363,0.1845003726622043,0.8971427715114785,0.0430726461516714,0.2651004057120046,-0.1288092887927838,-0.7930196572969771,True,True
buffer_10_20_partial50,20% 缓冲 + 50% 渐进,0.5953866242920116,0.6044070825775842,0.2975703361193507,0.1322654666712314,0.7674536513168482,0.2060870533865189,-0.1680070145317146,-0.002913989333148903,-0.2558908948602251,0.0994518920976482,0.7475484474735516,0.1824145146044435,0.8303732643822711,0.0722124921946201,0.419071489381221,-0.0178341063982251,-0.1035211654097781,False,False
buffer_10_20_every2_phase0,20% 缓冲 + 隔日 / 相位 0,0.5923366541841086,0.6064335751520039,0.4514772304322316,0.2868202488467535,1.6028963550435045,0.5401836697311422,-0.1865425316402094,0.1516407928423732,-0.10198400054734419,0.302637333747769,2.155718130525338,0.2626469681489752,1.162191411552152,0.2270377921375791,1.2679293616314238,0.1374169433416145,0.7659935019638735,True,True
buffer_10_20_every2_phase1,20% 缓冲 + 隔日 / 相位 1,0.589791629337192,0.6081245667917665,0.3372511995495057,0.1732056917221604,1.013800550063728,0.2879741890262757,-0.139625182085513,0.038026235717780105,-0.21621003143007006,0.1589787589844011,1.1636552367896849,0.1949487398685473,0.9140386313589044,0.1136332610650276,0.66613318678874,0.0243254997795372,0.1427973297821096,True,True
