strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value
buffer_10_30,fees_slip5,2025-01-02,2026-08-28,402,0.870021490607926,0.13494617548106674,0.757842086280864,0.1265261334791099,0.20931557620300434,-0.1667886641850026,0.776033416312184,0.0
every_2d_phase0,gross,2025-01-02,2026-08-28,402,0.765158080541673,0.43778295069827755,2.530159178368863,0.5258411638684681,0.9621900508353101,-0.14275800335926347,0.0,0.015354833075887045
every_2d_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.7645093023263613,0.2253066244304101,1.3022116087645683,0.2340782577848075,0.3986638692962441,-0.18370804435149946,0.3948733070459872,0.012394809304149313
every_2d_phase0,fees_slip2,2025-01-02,2026-08-28,402,0.7642764009161827,0.14816827854200074,0.8551024924104719,0.14246644903301875,0.23672768502673702,-0.20079473042534213,0.5048042277740077,0.01146664670686918
every_2d_phase0,fees_slip5,2025-01-02,2026-08-28,402,0.763929823187296,0.03254733252710391,0.1871428176528205,0.017638669651221184,0.028285241123964244,-0.22614442884775499,0.6430377281930124,0.010203059997901262
every_2d_phase1,gross,2025-01-02,2026-08-28,402,0.7673262176754506,0.363555479322591,2.2329976974860197,0.4192667859243786,0.7481486074415526,-0.10499156233153317,0.0,0.0
every_2d_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.7666810939862482,0.15028816060651443,0.9318619640065348,0.14718704865722065,0.24488950015377386,-0.13055849815503084,0.36247375622388833,0.0
every_2d_phase1,fees_slip2,2025-01-02,2026-08-28,402,0.7664494911999858,0.07285491688918319,0.45252627242139754,0.061783659876660346,0.10035717324367899,-0.16463402495023294,0.46434490046209065,0.0
every_2d_phase1,fees_slip5,2025-01-02,2026-08-28,402,0.7661051072082739,-0.04320887203365574,-0.2686275156782248,-0.05455235567135652,-0.08560048605314419,-0.25513963291000086,0.5933784921300017,0.0
every_3d_phase0,gross,2025-01-02,2026-08-28,402,0.5169431461205194,0.2557735318143124,1.6360099921824436,0.2756903011500733,0.47464966688286503,-0.12790726208533632,0.0,0.013208091833071797
every_3d_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.5165036862541725,0.11222184840962109,0.720198743627445,0.10528679114153117,0.17314837731410426,-0.1757087382957857,0.2517113320701918,0.011425321157851238
every_3d_phase0,fees_slip2,2025-01-02,2026-08-28,402,0.5163454759234188,0.0601026555433925,0.38554232086585927,0.04915658065437034,0.07955619728195229,-0.19693524606641322,0.3290018539765723,0.010838766568176032
every_3d_phase0,fees_slip5,2025-01-02,2026-08-28,402,0.5161097889557089,-0.018017205418843614,-0.11530668121354665,-0.029741012206533468,-0.047022342546904405,-0.2298318543156067,0.4327253153425741,0.010014895991008875
every_3d_phase1,gross,2025-01-02,2026-08-28,402,0.5142617037090297,0.21791454775453858,1.3277072004773287,0.22681116425692172,0.3855480777704563,-0.14559025671652925,0.0,0.0
every_3d_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.5138310975186072,0.07518729106364613,0.4590646909747851,0.06376547265792198,0.103635308762279,-0.17845493527255707,0.24686088022564834,0.0
every_3d_phase1,fees_slip2,2025-01-02,2026-08-28,402,0.5136759573654374,0.02336292459266687,0.14254155905881088,0.010025648096316564,0.016040952625208993,-0.203069786200749,0.32287832737618194,0.0
every_3d_phase1,fees_slip5,2025-01-02,2026-08-28,402,0.5134446418096034,-0.05431564304617317,-0.33054188471717616,-0.06553849897536335,-0.1024917581510828,-0.2478577057455611,0.4250860361811137,0.0
