period,start,end,days,average_target_turnover,one_way_cost_bp,annualized_return,annualized_sharpe,total_return,max_drawdown
block_04,2025-09-26,2025-12-26,60,1.3961666666666668,5,0.25650252198743817,5.957224059375711,0.06271200543365696,-0.010163154554105214
block_04,2025-09-26,2025-12-26,60,1.3961666666666668,10,0.08058552198743824,1.8653242322522015,0.019146352450716053,-0.013302561481251973
block_04,2025-09-26,2025-12-26,60,1.3961666666666668,20,-0.2712484780125618,-6.233487181649849,-0.06278272896297943,-0.06518876762994641
block_05,2025-12-29,2026-04-01,60,1.4256507537688443,0,0.15118022253225802,4.368850269612055,0.03649464507002653,-0.00733154220894483
block_05,2025-12-29,2026-04-01,60,1.4256507537688443,5,-0.028451772442616385,-0.8237995114256949,-0.006890436079962758,-0.02097109969338129
block_05,2025-12-29,2026-04-01,60,1.4256507537688443,10,-0.20808376741749077,-6.034944001271766,-0.048488614417333875,-0.05084460756089826
block_05,2025-12-29,2026-04-01,60,1.4256507537688443,20,-0.5673477573672394,-16.49582197885636,-0.1266109683191936,-0.12639050770929638
block_06,2026-04-02,2026-07-01,60,1.3957499999999998,0,-0.022679778099060056,-0.39797713939658436,-0.005764219663988435,-0.0378351513844597
block_06,2026-04-02,2026-07-01,60,1.3957499999999998,5,-0.19854427809906008,-3.4807324094739935,-0.046554526582073374,-0.06382391469756654
block_06,2026-04-02,2026-07-01,60,1.3957499999999998,10,-0.37440877809906004,-6.556890353322837,-0.0856981912474627,-0.09708477893304979
block_06,2026-04-02,2026-07-01,60,1.3957499999999998,20,-0.7261377780990602,-12.68480403751494,-0.15930458857414498,-0.1621524177747541
block_07,2026-07-02,2026-08-27,41,1.376341463414634,0,0.29491412863498784,4.986729102450143,0.04883176332820205,-0.022105746320152053
block_07,2026-07-02,2026-08-27,41,1.376341463414634,5,0.12149510424474391,2.054481063983204,0.019675953617436903,-0.030052613856874855
block_07,2026-07-02,2026-08-27,41,1.376341463414634,10,-0.051923920145499985,-0.8779586669320641,-0.008688678826290874,-0.04002066622186917
block_07,2026-07-02,2026-08-27,41,1.376341463414634,20,-0.3987619689259879,-6.738560924929636,-0.06312765130605147,-0.06109404214821612
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.3981694705411112,0,0.3234583241063902,6.770696343865827,0.3029016191363989,-0.02895577494667989
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.3981694705411112,5,0.14728897081821019,3.080135483970973,0.12751394232610225,-0.03711509860799922
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.3981694705411112,10,-0.02888038246996983,-0.6033191678874652,-0.02436301801534191,-0.059613719072151405
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.3981694705411112,20,-0.3812190890463299,-7.944911134454155,-0.26972105081226305,-0.27135602856901564
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.403027741446961,0,0.23383073579464955,4.726142154782899,0.40039974030418013,-0.0378351513844597
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.403027741446961,5,0.0570492403723325,1.1517298103750249,0.08420415415352522,-0.08383043533806112
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.403027741446961,10,-0.11973225504998457,-2.4141775843912647,-0.16074876236751023,-0.18538559854279568
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.403027741446961,20,-0.4732952458946187,-9.516806531560253,-0.4974039968234417,-0.5001392289987812
