period,start,end,days,average_target_turnover,one_way_cost_bp,annualized_return,annualized_sharpe,total_return,max_drawdown
block_05,2025-12-29,2026-04-01,60,1.5727742881072027,20,-0.37633290924005147,-7.219382134669164,-0.08605866007960616,-0.09126124693170679
block_06,2026-04-02,2026-07-01,60,1.5743999162479059,0,0.3238162192489634,6.300562556669578,0.07976245956206607,-0.009873453429340873
block_06,2026-04-02,2026-07-01,60,1.5743999162479059,5,0.12544182980172722,2.4400640984272597,0.02999142407981803,-0.021696708788991326
block_06,2026-04-02,2026-07-01,60,1.5743999162479059,10,-0.07293255964550897,-1.4180332731428238,-0.01752204006203728,-0.04406715431682462
block_06,2026-04-02,2026-07-01,60,1.5743999162479059,20,-0.4696813385399813,-9.119379581848762,-0.10617478959345117,-0.12009341909374704
block_07,2026-07-02,2026-08-27,41,1.563048780487805,0,0.1585613393783568,2.461484993539088,0.025787831073022627,-0.016836960523035738
block_07,2026-07-02,2026-08-27,41,1.563048780487805,5,-0.03838280696310657,-0.593457389324399,-0.006555511031932193,-0.032855774999426046
block_07,2026-07-02,2026-08-27,41,1.563048780487805,10,-0.23532695330456996,-3.6234818559070137,-0.03790326500896546,-0.055905684860804716
block_07,2026-07-02,2026-08-27,41,1.563048780487805,20,-0.6292152459874968,-9.605245392159958,-0.09773073272281485,-0.10795288251928159
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.5715915325419365,0,0.40183142493405094,8.864287441399494,0.3895448933342247,-0.01200822796711154
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.5715915325419365,5,0.2038108918337669,4.493035715968402,0.18117458416563736,-0.016634651388493515
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.5715915325419365,10,0.005790358733482877,0.12755135327539605,0.003922306249042551,-0.03404918909138077
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,1.5715915325419365,20,-0.39025070746708507,-8.580687987893759,-0.27505464214033415,-0.2780646492545259
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.576383286294486,0,0.360053515111078,7.2377664400025745,0.6809386482632898,-0.016836960523035627
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.576383286294486,5,0.16142922103797286,3.2444586129026853,0.26106462126785623,-0.032855774999425935
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.576383286294486,10,-0.03719507303513242,-0.7473739248688758,-0.054145450172752185,-0.06735029486279087
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,1.576383286294486,20,-0.43444366118134287,-8.723296618542062,-0.4682562750141227,-0.46975785406572435
